,Province_State,Date,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7,retail_recreation,grocery_pharmacy,parks,transit,work,residential
14516,Vermont,2020-11-13,2743,59,92,0,59.57142857142857,0.14285714285714285,42.0,0.07142857142857142,VT,47.69,58.68,Vermont,623989.0,9.546871590914034,0.02289417647701207,-23.166666666666668,-8.5,-24.0,-41.0,-23.5,11.25
14517,Vermont,2020-11-14,2843,59,100,0,70.85714285714286,0.0,47.42857142857143,0.07142857142857142,VT,55.56,64.58,Vermont,623989.0,11.355511532597987,0.0,-27.083333333333332,-12.555555555555555,5.0,-50.4,-14.923076923076923,6.666666666666667
14518,Vermont,2020-11-15,2889,59,46,0,71.0,0.0,49.5,0.07142857142857142,VT,55.56,64.58,Vermont,623989.0,11.378405709074999,0.0,-27.818181818181817,-11.25,-15.0,-64.75,-16.923076923076923,6.333333333333333
14519,Vermont,2020-11-16,3008,59,119,0,84.71428571428571,0.0,56.357142857142854,0.07142857142857142,VT,55.56,64.58,Vermont,623989.0,13.576246650868159,0.0,-19.818181818181817,-8.666666666666666,-6.0,-36.6,-22.857142857142858,10.083333333333334
14520,Vermont,2020-11-17,3104,59,96,0,91.71428571428571,0.0,61.92857142857143,0.07142857142857142,VT,55.56,64.58,Vermont,623989.0,14.698061298241749,0.0,-20.6,-5.2,-1.0,-33.2,-24.142857142857142,10.5
14521,Vermont,2020-11-18,3161,60,57,1,89.42857142857143,0.14285714285714285,63.857142857142854,0.14285714285714285,VT,55.56,64.58,Vermont,623989.0,14.331754474609557,0.02289417647701207,-21.75,-7.6,-15.5,-40.75,-28.5,12.333333333333334
14522,Vermont,2020-11-19,3310,61,149,1,94.14285714285714,0.2857142857142857,71.92857142857143,0.21428571428571427,VT,55.56,64.58,Vermont,623989.0,15.087262298350954,0.04578835295402414,-19.666666666666668,-3.6666666666666665,-11.0,-28.6,-23.142857142857142,10.666666666666666
14523,Vermont,2020-11-20,3459,62,149,1,102.28571428571429,0.42857142857142855,80.92857142857143,0.2857142857142857,VT,55.56,64.58,Vermont,623989.0,16.392230357540644,0.06868252943103621,-25.666666666666668,-9.833333333333334,-10.333333333333334,-35.714285714285715,-23.785714285714285,11.416666666666666
14524,Vermont,2020-11-21,3546,63,87,1,100.42857142857143,0.5714285714285714,85.64285714285714,0.2857142857142857,VT,55.56,64.58,Vermont,623989.0,16.094606063339487,0.09157670590804828,-26.75,-12.9,6.0,-50.5,-12.76923076923077,7.0
14525,Vermont,2020-11-22,3629,63,83,0,105.71428571428571,0.5714285714285714,88.35714285714286,0.2857142857142857,VT,55.56,64.58,Vermont,623989.0,16.941690592988934,0.09157670590804828,-27.454545454545453,-9.0,-10.0,-57.75,-13.76923076923077,5.666666666666667
14526,Vermont,2020-11-23,3714,63,85,0,100.85714285714286,0.5714285714285714,92.78571428571429,0.2857142857142857,VT,55.56,64.58,Vermont,623989.0,16.163288592770524,0.09157670590804828,-15.166666666666666,-3.2222222222222223,-18.0,-34.0,-26.071428571428573,11.0
14527,Vermont,2020-11-24,3762,64,48,1,94.0,0.7142857142857143,92.85714285714286,0.35714285714285715,VT,55.56,64.58,Vermont,623989.0,15.064368121873944,0.11447088238506035,-13.363636363636363,7.1,1.5,-28.4,-26.928571428571427,10.25
14528,Vermont,2020-11-25,3827,64,65,0,95.14285714285714,0.5714285714285714,92.28571428571429,0.35714285714285715,VT,55.56,64.58,Vermont,623989.0,15.247521533690039,0.09157670590804828,-6.833333333333333,25.625,-5.0,-33.333333333333336,-35.86666666666667,12.916666666666666
14529,Vermont,2020-11-26,3827,64,0,0,73.85714285714286,0.42857142857142855,84.0,0.35714285714285715,VT,55.56,64.58,Vermont,623989.0,11.836289238615242,0.06868252943103621,-79.3,-50.857142857142854,-13.0,-71.2,-81.23076923076923,27.0
14530,Vermont,2020-11-27,4005,67,178,3,78.0,0.7142857142857143,90.14285714285714,0.5714285714285714,VT,55.56,64.58,Vermont,623989.0,12.500220356448592,0.11447088238506035,-31.416666666666668,-22.083333333333332,-3.3333333333333335,-51.42857142857143,-55.6,20.333333333333332
14531,Vermont,2020-11-28,4033,67,28,0,69.57142857142857,0.5714285714285714,85.0,0.5714285714285714,VT,55.56,64.58,Vermont,623989.0,11.149463944304879,0.09157670590804828,-32.083333333333336,-20.818181818181817,-14.0,-52.4,-18.692307692307693,9.0
14532,Vermont,2020-11-29,4100,67,67,0,67.28571428571429,0.5714285714285714,86.5,0.5714285714285714,VT,55.56,64.58,Vermont,623989.0,10.783157120672687,0.09157670590804828,-28.0,-14.25,38.0,-55.5,-14.153846153846153,5.333333333333333
14533,Vermont,2020-11-30,4172,69,72,2,65.42857142857143,0.8571428571428571,83.14285714285714,0.7142857142857143,VT,55.56,64.58,Vermont,623989.0,10.485532826471529,0.13736505886207243,,,,,,
14534,Vermont,2020-12-01,4239,72,67,3,68.14285714285714,1.1428571428571428,81.07142857142857,0.9285714285714286,VT,55.56,64.58,Vermont,623989.0,10.920522179534757,0.18315341181609657,,,,,,
14535,Vermont,2020-12-02,4461,74,222,2,90.57142857142857,1.4285714285714286,92.85714285714286,1.0,VT,55.56,64.58,Vermont,623989.0,14.514907886425654,0.2289417647701207,,,,,,
14536,Virginia,2020-01-22,0,0,0,0,,,,,VA,0.0,0.0,Virginia,8535519.0,,,,,,,,
14537,Virginia,2020-01-23,0,0,0,0,,,,,VA,0.0,0.0,Virginia,8535519.0,,,,,,,,
14538,Virginia,2020-01-24,0,0,0,0,,,,,VA,0.0,0.0,Virginia,8535519.0,,,,,,,,
