Province_State,Date,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7,retail_recreation,grocery_pharmacy,parks,transit,work,residential
Utah,6/22/20,17906,158,444,0,471.1428571,2.142857143,398.8571429,2.428571429,UT,41.2,44.79,Utah,3205958,14.69585245,0.066839838,4.133333333,7.363636364,140.1428571,-3,-29.68,7.6
Utah,6/23/20,18300,163,394,5,480.4285714,2.571428571,410.0714286,2.571428571,UT,41.2,44.79,Utah,3205958,14.98549174,0.080207806,2.214285714,10.45454545,153.4285714,-1.692307692,-31.04,8.5
Utah,6/24/20,18784,163,484,0,491.4285714,2,422.8571429,2.5,UT,41.2,48.96,Utah,3205958,15.32860291,0.062383849,4.8125,11.54545455,154.1666667,2,-29.48,8.3
Utah,6/25/20,19374,164,590,1,505,1.714285714,437.2857143,2.357142857,UT,41.2,48.96,Utah,3205958,15.75192189,0.053471871,4.6,11.18181818,145.2857143,-7.5,-29.92,8.5
Utah,6/26/20,20050,166,676,2,517.8571429,1.571428571,462.3571429,1.928571429,UT,41.2,48.96,Utah,3205958,16.15296092,0.049015881,-1.4375,13.45454545,121.8333333,4,-30.68,7
Utah,6/27/20,20628,167,578,1,508.5714286,1.714285714,474.7857143,2,UT,41.2,50,Utah,3205958,15.86332162,0.053471871,-4.75,7.636363636,147.2857143,6.363636364,-10.11111111,1
Utah,6/28/20,21100,167,472,0,519.7142857,1.285714286,484.7857143,2,UT,41.2,50,Utah,3205958,16.21088878,0.040103903,-3.090909091,11.2,83.14285714,-0.181818182,-18.3125,2
Utah,6/29/20,21664,168,564,1,536.8571429,1.428571429,504,1.785714286,UT,41.2,50,Utah,3205958,16.74560749,0.044559892,4.8,5.727272727,91.42857143,-5.416666667,-28.76,9.1
Utah,6/30/20,22217,172,553,4,559.5714286,1.285714286,520,1.928571429,UT,41.2,50,Utah,3205958,17.45410977,0.040103903,5.214285714,9.363636364,116.2857143,0.615384615,-29.36,9.3
Utah,7/1/20,22716,173,499,1,561.7142857,1.428571429,526.5714286,1.714285714,UT,41.2,50,Utah,3205958,17.52094961,0.044559892,9.533333333,15.72727273,157.6666667,5.615384615,-30.04,7.7
Utah,7/2/20,23270,176,554,3,556.5714286,1.714285714,530.7857143,1.714285714,UT,41.2,50,Utah,3205958,17.360534,0.053471871,16.93333333,26.72727273,158.5,-3.909090909,-33.4,7.7
Utah,7/3/20,23866,181,596,5,545.1428571,2.142857143,531.5,1.857142857,UT,41.2,50,Utah,3205958,17.00405486,0.066839838,9.625,31.81818182,150.2,3.642857143,-51.04,10.2
Utah,7/4/20,24542,181,676,0,559.1428571,2,533.8571429,1.857142857,UT,41.2,50,Utah,3205958,17.4407418,0.062383849,-20.9375,6.090909091,162.4285714,-2.230769231,-20.77777778,1.375
Utah,7/5/20,24952,184,410,3,550.2857143,2.428571429,535,1.857142857,UT,41.2,50,Utah,3205958,17.16447047,0.075751817,-4.818181818,14.90909091,114.5,-2.636363636,-23,-0.285714286
Utah,7/6/20,25469,190,517,6,543.5714286,3.142857143,540.2142857,2.285714286,UT,41.2,50,Utah,3205958,16.95503898,0.098031763,10.4,12.81818182,136.8571429,3.384615385,-31.24,7.9
Utah,7/7/20,26033,194,564,4,545.1428571,3.142857143,552.3571429,2.214285714,UT,41.2,50,Utah,3205958,17.00405486,0.098031763,5.357142857,12.90909091,145.8571429,1.230769231,-31.92,8.8
Utah,7/8/20,26755,201,722,7,577,4,569.3571429,2.714285714,UT,41.2,50,Utah,3205958,17.99774046,0.124767698,5.8,12.63636364,150.8333333,2.928571429,-30,8.5
Utah,7/9/20,27356,205,601,4,583.7142857,4.142857143,570.1428571,2.928571429,UT,41.2,50,Utah,3205958,18.20717195,0.129223687,6.2,12,149.4285714,-0.615384615,-30.72,8.5
Utah,7/10/20,28223,207,867,2,622.4285714,3.714285714,583.7857143,2.928571429,UT,41.2,50,Utah,3205958,19.41474503,0.11585572,-0.625,12,112.8333333,3.714285714,-30.4,7.5
Utah,7/11/20,28855,212,632,5,616.1428571,4.428571429,587.6428571,3.214285714,UT,41.2,50,Utah,3205958,19.2186815,0.138135666,-4.0625,8.272727273,138,7.846153846,-9.166666667,1.666666667
Utah,7/12/20,29484,215,629,3,647.4285714,4.428571429,598.8571429,3.428571429,UT,41.2,50,Utah,3205958,20.19454314,0.138135666,-0.454545455,19.18181818,114,6.636363636,-20.125,1
Utah,7/13/20,30030,216,546,1,651.5714286,3.714285714,597.5714286,3.428571429,UT,41.2,50,Utah,3205958,20.32376683,0.11585572,4.933333333,9.727272727,125.8571429,0.076923077,-29,7.9
Utah,7/14/20,30478,226,448,10,635,4.571428571,590.0714286,3.857142857,UT,41.2,50,Utah,3205958,19.80687208,0.142591655,2.5,10.54545455,145.6666667,-2.692307692,-30.76,8.6
Utah,7/15/20,30891,233,413,7,590.8571429,4.571428571,583.9285714,4.285714286,UT,41.2,50,Utah,3205958,18.42997141,0.142591655,5.25,12.90909091,142.8333333,-0.571428571,-30.04,8.2
Utah,7/16/20,31845,234,954,1,641.2857143,4.142857143,612.5,4.142857143,UT,41.2,50,Utah,3205958,20.00293561,0.129223687,3.266666667,12.90909091,144.8571429,-8.5,-30.88,8.5
Utah,7/17/20,32572,235,727,1,621.2857143,4,621.8571429,3.857142857,UT,39.35,48.61,Utah,3205958,19.37909711,0.124767698,-2.666666667,13.18181818,109.6666667,1.214285714,-31.08,7.2
